Customer_ID,RECENCY,FREQUENCY,MONETIZATION,LOG_RECENCY,LOG_FREQUENCY,LOG_MONETIZATION,s_LOG_RECENCY,s_LOG_FREQUENCY,s_LOG_MONETIZATION,CLUSTER
SM-20905,608,1,1043.0410000000002,2.783903579272735,0.0,3.018301380069668,1.6686706962055882,-3.692588524875263,-0.5773062769442001,0
RE-19405,1099,1,48.36,3.0409976924234905,0.0,1.6844862921887342,2.138608816045011,-3.692588524875263,-3.490092439109779,0
JR-15700,70,1,863.88,1.845098040014257,0.0,2.936453419611666,-0.04735657725930274,-3.692588524875263,-0.7560459004420151,0
MG-18205,266,1,16.739,2.424881636631067,0.0,1.2237295093648768,1.0124203657781878,-3.692588524875263,-4.496293368554556,0
LD-16855,554,1,5.304,2.74350976472843,0.0,0.7246035153967167,1.5948355039973476,-3.692588524875263,-5.586285003540004,0
RM-19750,301,1,98.35,2.478566495593843,0.0,1.9927743642553555,1.110550040455017,-3.692588524875263,-2.816852768607177,0
AO-10810,503,1,161.28,2.7015679850559273,0.0,2.2075805147654313,1.518170811677234,-3.692588524875263,-2.347758972593933,0
JC-15385,177,1,1058.1080000000002,2.2479732663618064,0.0,3.024529997954604,0.6890524524123792,-3.692588524875263,-0.5637042175961664,0
CJ-11875,367,1,16.52,2.5646660642520893,0.0,1.2180100429843634,1.2679300322345863,-3.692588524875263,-4.508783542552062,0
VT-21700,1002,2,1736.596,3.000867721531227,0.3010299956639812,3.2396987963527155,2.065255899328234,-2.2270792252228206,-0.09381847091479299,0
GH-14485,389,2,1361.2440000000001,2.5899496013257077,0.3010299956639812,3.1339359785139624,1.3141453956657179,-2.2270792252228206,-0.32478337382482736,0
RB-19330,70,2,1008.1959999999999,1.845098040014257,0.3010299956639812,3.0035449700497874,-0.04735657725930274,-2.2270792252228206,-0.609531333700333,0
JJ-15760,755,2,195.0,2.8779469516291885,0.3010299956639812,2.290034611362518,1.8405710366954364,-2.2270792252228206,-2.1676956686441904,0
TS-21085,359,2,4.833,2.5550944485783194,0.3010299956639812,0.6842167951388805,1.250434232667525,-2.2270792252228206,-5.674481546652418,0
CM-11935,710,2,565.392,2.8512583487190755,0.3010299956639812,2.7523496591580368,1.791787376427941,-2.2270792252228206,-1.1580917992509272,0
PC-19000,884,2,1061.488,2.946452265013073,0.3010299956639812,3.0259150888805,1.9657907773425343,-2.2270792252228206,-0.5606794552292171,0
RH-19555,521,2,740.382,2.7168377232995247,0.3010299956639812,2.869455851739835,1.5460821161901788,-2.2270792252228206,-0.9023552280009484,0
JR-15670,595,2,1156.658,2.7745169657285498,0.3010299956639812,3.063204965979329,1.6515130590020202,-2.2270792252228206,-0.47924580000277467,0
SC-20845,133,2,280.63200000000006,2.123851640967086,0.3010299956639812,2.448137191393128,0.46217256568698845,-2.2270792252228206,-1.8224311627167038,0
GR-14560,1137,2,1284.38,3.0557604646877348,0.3010299956639812,3.108693534236987,2.1655934457452193,-2.2270792252228206,-0.37990783827066205,0
DK-13150,12,2,797.832,1.0791812460476249,0.3010299956639812,2.901911451307881,-1.4473633440383586,-2.2270792252228206,-0.8314786708487995,0
DP-13165,814,2,1058.616,2.910624404889201,0.3010299956639812,3.0247384536635606,1.9003016184577124,-2.2270792252228206,-0.5632489918980993,0
BT-11485,661,2,415.19599999999997,2.82020145948564,0.3010299956639812,2.618253160865701,1.735018997115173,-2.2270792252228206,-1.45093180996135,0
BS-11800,267,2,949.43,2.4265112613645754,0.3010299956639812,2.9774629503954158,1.015399130145537,-2.2270792252228206,-0.666489263342051,0
